N,Time,X_pos,Y_pos,Value
624,46:54,-8.0,0.67,0.01677864
625,46:56,-8.0,0.68,0.0167378
626,46:58,-8.0,0.6875,0.018674220000000002
627,47:01,-8.0,0.6975,0.02008356
628,47:03,-8.0,0.7075,0.02373372
629,47:05,-8.0,0.72,0.021086399999999998
630,47:07,-8.0,0.73,0.02513096
631,47:10,-8.0,0.74,0.03452728
632,47:12,-8.0,0.75,0.03695902
633,47:14,-8.0,0.7575,0.04305188
634,47:16,-8.0,0.7675,0.05202752
635,47:19,-8.0,0.7775,0.06200366
636,47:21,-8.0,0.79,0.06849112
637,47:23,-8.0,0.8,0.07868254
638,47:26,-8.0,0.81,0.08669074
639,47:28,-8.0,0.8175,0.09173004
640,47:30,-8.0,0.8275,0.09520558
641,47:33,-8.0,0.8375,0.10111412
642,47:35,-8.0,0.85,0.105548
643,47:37,-8.0,0.86,0.1024618
644,47:40,-8.0,0.87,0.108477
645,47:42,-8.0,0.8775,0.1064276
646,47:44,-8.0,0.8875,0.1094208
